tipo,precio,habitacione,bano,estaciona,lote
h,1010000,3,1,2,649
h,852000,2,1,2,705
h,595000,3,1,1,490
h,665000,3,1,2,874
u,631000,3,1,1,267
h,905000,4,2,2,696
h,845000,5,2,2,676
t,815000,3,2,2,213
h,770000,4,3,3,697
h,935000,2,1,1,537
h,610000,3,1,2,435
h,678500,0,1,2,606
h,861500,2,1,1,419
h,801000,3,1,1,551
h,1150000,4,1,2,928
h,760000,3,2,2,567
u,490000,2,1,1,143
h,605000,3,1,2,371
t,652000,2,2,2,254
t,615000,2,1,1,202
u,407000,1,1,1,108
h,930000,4,1,3,635
t,741000,3,2,2,257
h,375000,2,1,1,101
h,1005000,4,2,5,768
h,800000,4,1,4,605
u,395000,2,1,1,166
h,1025000,2,2,1,715
u,505000,2,1,1,110
h,950000,2,1,0,150
h,1110000,2,1,0,166
t,950000,2,1,1,113
u,1226000,2,1,1,826
u,500000,1,1,1,2044
h,1214000,3,1,0,176
u,370000,1,1,1,3512
u,790000,3,1,1,0
h,1400000,3,2,0,848
u,500000,2,1,1,0
t,1090000,2,2,1,0
h,1785000,3,1,0,240
u,560000,2,1,1,7455
u,690000,2,2,1,760
h,1050000,2,1,0,134
h,2060000,3,2,1,181
h,860000,2,1,0,111
t,1052000,3,1,2,0
h,3000000,3,2,7,230
h,1330000,3,1,1,154
u,630000,2,2,1,3512
h,1210000,2,1,0,178
h,911000,1,1,0,126
h,1590000,3,1,1,318
h,1380000,4,2,2,607
h,1150000,4,1,2,672
h,1160000,4,2,2,613
u,615000,2,1,1,190
h,940000,3,2,2,581
h,665000,2,1,0,269
h,950000,3,1,0,220
h,1085000,2,1,2,249
h,847000,3,1,1,205
h,785000,2,1,1,116
h,2240000,3,2,1,197
h,2050000,3,2,1,230
u,460000,1,1,1,0
u,650000,2,1,0,438
t,1100000,2,1,1,327
h,1820000,3,1,1,204
h,1780000,3,2,2,202
h,1024000,2,1,0,102
u,680000,3,2,2,0
h,1150000,2,1,1,91
u,710000,3,2,2,0
u,1320000,3,2,2,15
u,537000,1,1,1,0
u,800000,2,2,2,0
u,410000,1,1,0,0
u,499000,2,1,1,0
h,1214000,2,1,0,161
u,485000,2,1,0,5467
u,920000,3,1,1,0
u,615000,2,1,1,0
u,642000,2,1,1,595
t,3475000,3,3,1,296
h,1710000,2,2,0,208
u,851000,2,1,1,284
t,2030000,3,2,2,201
h,1405000,2,1,0,219
u,850000,2,2,2,17200
u,792500,2,1,1,0
u,390500,1,1,0,775
u,2050000,3,2,2,3197
u,595000,2,1,2,0
u,346000,1,1,1,678
u,520000,1,1,1,2422
u,320000,1,1,1,1036
u,610500,2,2,1,2920
u,350000,1,1,1,1236
h,1120000,2,1,0,135
t,1077000,2,1,1,455
h,1301000,2,1,1,165
h,1440000,2,1,2,194
u,680000,2,1,0,0
h,1361000,3,1,0,246
u,1000000,3,1,0,0
u,902000,2,1,1,18
u,1190000,3,1,1,460
h,920000,2,1,0,190
u,482000,2,1,1,0
h,2260000,4,2,1,297
h,810000,4,1,1,543
h,1021000,3,2,2,371
t,925000,3,3,1,555
h,910000,5,2,2,533
h,900000,3,1,2,531
h,995000,3,2,3,653
h,1150000,5,2,2,702
h,940000,3,2,2,572
h,726000,4,2,0,567
h,950000,3,1,1,725
h,760000,4,1,5,650
h,990000,4,1,6,654
h,651500,3,1,1,555
h,970000,4,1,4,615
h,841000,3,1,2,557
h,710000,3,1,0,483
h,840000,3,1,1,462
h,660000,3,2,2,660
h,692000,3,1,1,485
h,830000,3,1,2,608
h,600000,3,1,2,465
h,718000,3,1,2,551
h,775000,4,1,2,665
h,490000,3,1,1,546
h,716000,3,1,1,534
h,511000,3,2,2,519
h,515000,4,2,2,332
h,530000,3,1,1,573
h,685000,4,2,2,572
h,700000,3,1,2,701
t,521000,3,3,2,134
h,571000,3,1,1,757
h,710000,3,1,4,990
u,682000,2,1,2,119
u,825000,2,1,2,180
h,1525000,3,2,2,347
h,1260000,2,1,0,269
h,2360000,4,2,2,764
h,1250000,2,2,1,323
h,1490000,4,1,4,605
h,1600000,4,1,2,600
h,1652000,3,2,2,368
h,2370000,4,3,2,773
t,940000,3,2,3,281
h,1503500,3,1,1,907
t,950000,3,2,2,306
h,1370000,3,1,2,743
h,1181000,4,2,2,805
h,1385000,3,1,2,745
h,1180000,3,1,3,655
h,1302000,4,2,2,650
h,1775000,5,4,2,501
h,1750000,3,1,3,712
h,1345000,3,2,4,584
h,1080000,3,1,1,408
h,1195000,3,1,2,463
u,716000,2,1,1,0
t,865000,3,2,2,194
u,462000,2,1,1,0
h,1100000,3,2,1,359
h,1635000,4,2,2,464
t,998000,3,2,1,0
u,600000,2,1,1,0
h,1346000,3,2,2,349
h,1130000,3,1,1,381
h,1275000,3,1,2,517
h,1200000,3,1,1,447
h,915000,2,1,1,502
u,300000,1,1,1,948
u,880000,3,1,2,242
t,960000,2,2,2,158
h,1260000,2,1,0,317
h,1100000,3,1,1,330
h,810000,3,1,1,667
h,1140000,4,2,4,863
h,1003000,4,2,2,619
h,1155000,4,2,3,780
h,880000,3,1,4,555
h,826000,5,1,2,545
h,952000,4,2,2,729
h,677500,3,1,2,245
h,761000,4,1,2,696
h,715000,3,1,2,312
h,932500,4,2,2,585
h,895000,3,1,2,775
h,1435000,4,2,2,523
h,470000,2,1,1,0
h,502000,2,1,1,2701
u,580000,2,1,0,183
u,375000,1,1,1,60
h,650000,2,1,1,452
t,815000,3,1,2,203
h,970000,4,1,2,528
h,1325000,4,2,4,525
h,890000,3,1,3,334
h,900000,3,1,0,218
u,266000,2,1,1,1059
h,830000,3,1,0,370
h,888000,2,1,2,401
h,1040000,3,1,1,330
u,490000,2,1,1,117
h,935000,3,1,2,325
h,975000,3,1,0,318
u,185000,1,1,1,0
h,2165000,4,2,2,450
h,1245000,3,2,2,292
h,2075000,4,3,2,324
u,543000,2,1,1,0
h,1150000,3,1,0,308
h,1290000,3,1,0,273
h,1000000,2,1,2,447
h,2040000,5,3,2,531
h,1412000,4,2,4,551
u,465000,2,1,1,0
h,855000,2,1,1,160
u,550000,2,1,2,0
u,490000,2,1,1,0
h,1200000,4,3,2,183
h,1330000,3,2,2,184
h,1500000,4,3,2,450
h,1630000,4,2,2,260
h,935000,3,1,0,212
h,990000,3,1,2,340
h,950000,2,1,0,94
h,1196000,2,1,2,451
h,470000,2,1,1,79
h,1131500,3,1,1,248
h,2035000,4,2,0,607
h,935000,3,1,0,198
h,892000,3,1,2,449
h,985500,4,1,5,445
u,650000,2,2,2,0
t,1070000,3,2,2,257
u,397000,2,1,1,0
h,1035000,2,1,3,469
h,1370000,3,2,2,389
h,650000,2,1,2,304
h,820000,2,1,0,211
h,750000,3,2,1,390
u,497600,2,1,1,0
h,970000,3,2,0,354
h,1256000,2,1,3,531
t,1120000,3,2,0,152
h,1425000,3,3,2,305
h,872500,3,1,2,189
h,1455000,4,1,1,328
u,331000,1,1,1,0
h,950000,3,2,2,287
h,1000000,3,1,0,198
u,870000,2,2,1,0
h,1050000,2,1,0,129
h,1242000,2,1,1,249
h,1165000,3,2,0,92
h,872500,3,1,1,594
h,720000,3,2,2,305
h,985000,3,1,1,841
h,510000,3,1,1,488
u,480000,2,1,1,128
h,800000,4,2,5,689
u,420000,2,1,1,192
h,700000,3,1,2,697
u,580000,3,2,2,250
u,200000,1,1,1,1175
h,621000,3,1,3,547
u,600000,3,1,1,181
h,840000,3,1,2,577
h,1480000,5,3,4,725
t,600000,2,1,2,190
t,597500,2,1,2,178
h,1165000,3,1,2,700
h,1295000,3,1,2,725
h,1450000,2,1,1,627
u,925000,2,1,2,257
h,2220000,4,3,2,480
h,1912500,3,2,2,869
h,2085000,4,2,2,705
h,1380000,3,2,1,548
u,825000,2,2,2,288
h,1670000,3,1,1,534
t,1680000,3,3,1,329
h,750000,3,1,2,667
h,1005000,2,1,2,780
u,1520000,3,2,2,214
t,960000,2,2,1,0
u,995000,2,2,1,0
u,490000,1,1,1,0
u,500000,2,1,1,4076
h,1750000,4,2,2,707
h,2710000,5,3,2,1001
u,503000,1,1,1,0
u,810000,2,1,1,944
h,4275000,4,2,2,326
u,385000,1,1,1,1851
t,850000,3,2,2,114
u,740000,2,1,1,0
h,1940000,3,2,2,439
u,595000,2,1,1,0
u,632500,2,1,1,0
u,687000,2,1,1,1912
u,1260000,2,2,2,626
u,695000,2,1,1,845
u,950000,3,1,1,0
u,360000,1,1,0,0
h,1875000,3,2,2,270
u,642000,2,1,0,0
h,1520000,3,2,1,362
h,2275000,5,2,1,399
u,800000,2,2,2,0
u,500000,2,1,1,0
u,490000,1,1,1,0
h,1291000,4,2,2,521
t,810000,2,2,1,175
u,415500,2,1,1,82
t,1100000,2,2,1,81
t,1350000,2,1,2,6261
u,600000,2,1,1,2122
h,1350000,2,1,0,131
h,2725000,3,2,1,0
t,1050000,2,1,1,87
h,1326000,3,2,2,718
h,1200000,2,1,0,63
u,681500,2,1,1,0
h,680000,3,2,1,277
h,741000,3,2,2,585
h,990000,4,2,2,702
h,970000,4,2,3,737
h,485000,3,1,2,630
h,618000,4,1,2,604
u,616000,3,1,2,431
h,773000,3,2,2,650
u,355000,1,1,1,2581
t,425000,1,1,1,0
u,535000,2,2,1,2592
u,500000,2,1,1,0
u,525000,2,1,1,0
h,1110000,2,1,0,155
t,917500,3,1,1,98
u,730000,2,2,1,2135
t,811000,2,1,0,113
h,1190000,3,2,1,180
h,903000,2,1,0,184
h,902500,3,1,1,0
h,1817000,4,2,1,309
u,528000,2,1,1,0
h,1000000,2,1,0,159
u,380000,1,1,1,2592
h,1817000,4,2,1,309
h,1420000,3,1,0,112
h,1335000,2,1,1,107
h,1300000,2,1,0,132
h,2860000,4,3,2,160
h,1630000,3,1,0,143
h,2250000,3,2,1,148
h,1035000,2,1,1,593
h,1321000,3,1,2,688
t,742500,2,1,1,179
h,860000,3,1,2,601
h,2161000,3,2,1,230
h,1485000,3,1,1,198
t,755000,2,1,1,1537
h,940000,2,1,0,89
h,770000,3,1,1,590
h,985100,3,1,2,621
h,1410000,4,2,4,590
u,815000,3,1,2,393
h,1205500,4,2,2,553
h,1042500,3,1,4,658
h,799999,3,2,4,590
h,1200000,5,2,2,532
t,815000,3,2,2,148
u,321000,2,1,1,0
h,995000,3,1,0,669
h,1290000,3,1,3,715
u,300000,2,1,1,0
u,505000,2,1,1,0
u,595000,2,1,1,0
u,580000,2,1,1,0
u,580000,2,1,1,0
h,1320000,3,1,3,738
u,380000,1,1,1,89
h,1100000,3,1,0,305
u,660000,3,1,1,221
u,867000,2,1,1,1087
u,552000,1,1,1,0
u,655000,2,1,1,1816
u,840000,3,1,1,1678
u,1010000,2,2,2,586
u,650000,2,1,0,0
h,2400000,3,2,1,224
h,3600000,4,2,2,815
u,750000,2,1,1,0
u,247500,1,1,1,0
t,1320000,3,2,1,3
u,922500,3,1,2,4657
u,760000,2,1,1,0
u,546000,2,1,1,2023
t,670000,3,2,2,146
h,1070000,3,2,5,442
h,1575000,3,1,1,860
h,1520000,4,2,3,560
t,720000,3,2,2,146
h,1045000,3,2,3,526
u,585000,2,1,1,0
u,690000,2,1,1,0
u,854000,2,1,1,774
h,900000,1,1,1,160
u,350000,1,1,0,0
h,721500,3,1,1,594
h,1060000,5,2,2,627
h,984000,3,2,2,552
u,450000,2,1,1,0
u,490000,2,1,0,601
u,440000,1,1,0,0
h,1406000,3,1,1,34
h,1305000,3,1,2,147
u,488000,3,1,1,260
h,1750000,3,1,1,160
t,1013000,2,2,1,0
t,1171000,3,2,1,650
h,1053000,2,1,0,147
u,295000,1,1,1,0
h,445000,3,1,2,534
u,360000,2,1,1,0
h,640000,3,1,2,219
h,961000,3,1,2,717
h,1535000,2,1,0,171
h,570000,3,1,0,423
h,2345000,4,2,2,803
h,900000,3,1,2,672
h,5200000,5,3,3,761
h,1225000,3,1,2,770
u,622000,3,1,1,204
h,825000,3,1,4,603
h,1475000,4,3,5,380
h,2160000,5,1,2,860
t,1050000,3,3,2,200
h,1275000,3,2,2,226
t,640000,3,2,1,187
u,500000,3,1,2,263
h,1221000,4,2,3,554
h,1823000,4,2,3,728
h,2000000,6,3,4,836
h,1365000,3,1,1,776
h,1045000,3,1,1,401
h,1220000,5,2,2,611
h,627500,4,2,2,687
h,642000,3,2,2,968
h,840000,3,1,2,509
h,2650000,3,2,2,645
u,380000,1,1,1,1993
h,3250000,5,3,2,835
t,1731000,4,3,2,345
t,465000,3,2,3,248
h,518500,3,1,0,576
u,692000,2,1,1,0
h,1305000,2,1,0,315
h,1100000,3,1,1,322
h,573000,2,1,1,0
h,1060000,3,1,2,631
h,805000,3,1,2,669
h,682000,3,1,1,583
h,535000,3,2,2,472
h,1088000,4,1,1,536
h,1180000,3,1,1,563
h,630000,3,2,2,397
u,677000,2,1,1,131
u,670000,2,1,1,0
t,1320000,3,2,2,227
u,816000,2,2,1,8140
u,350000,1,1,1,0
u,620000,2,2,1,0
h,1760000,3,2,2,151
h,545000,3,2,2,301
u,1091500,2,2,1,225
h,1140000,5,2,2,570
t,950000,3,3,2,160
u,425000,2,1,1,0
h,1116000,3,1,2,610
u,1030000,3,2,2,538
h,900000,2,1,1,350
h,922000,4,2,2,463
h,1077000,3,1,2,512
h,805000,3,2,2,296
h,665000,4,2,2,756
h,515500,3,1,4,651
h,660000,3,2,3,618
h,572000,5,2,1,581
h,932000,4,2,2,880
h,570000,2,1,1,312
h,875000,4,2,2,244
u,348000,2,1,0,156
h,627000,3,1,1,610
h,760000,3,1,2,751
h,621000,2,1,0,610
u,612000,2,1,1,197
t,840000,3,2,2,0
h,1856000,6,3,3,1056
h,2705000,7,2,4,5022
h,530500,3,2,2,400
h,975000,3,1,0,841
h,805000,3,2,0,848
h,940000,4,3,2,508
u,437000,2,1,2,351
h,660000,5,3,2,708
h,1325000,3,2,2,441
u,310000,1,1,1,0
t,864000,3,1,2,177
u,291000,1,1,1,0
h,750000,3,1,1,236
h,2200000,5,3,2,607
h,1550000,3,2,0,478
h,720000,3,1,2,603
h,1350000,2,1,1,184
h,1852000,3,2,1,138
h,1100000,2,1,0,139
u,170000,1,1,0,30
h,1372000,4,1,2,866
t,850500,3,2,2,353
h,640000,3,2,1,368
h,611000,3,2,1,691
h,755000,3,1,2,786
h,521000,4,2,2,978
h,625000,3,1,2,544
h,1910000,4,2,3,737
u,500000,2,1,1,0
u,523000,2,1,1,0
t,525000,3,1,1,194
h,847000,3,1,2,650
h,990000,6,3,2,562
u,695000,2,2,1,208
u,500000,2,1,2,304
h,662500,3,2,2,649
u,1210000,3,2,2,9838
h,1140000,3,1,2,1469
u,395000,1,1,1,910
u,1000000,3,1,1,1079
u,450000,2,1,1,2338
h,2900000,4,1,3,636
u,450000,2,1,1,1540
h,650000,3,2,4,724
h,790000,3,2,1,458
h,780000,2,1,1,588
h,726500,3,1,0,593
h,710000,3,1,1,577
u,645000,2,1,1,105
h,650500,5,2,2,615
h,750000,3,2,2,321
h,650000,4,1,1,692
t,390000,2,1,1,165
h,810000,3,2,2,766
h,735000,3,2,2,749
t,520000,2,2,2,62
h,640000,4,2,1,729
t,967000,3,2,2,0
h,850000,2,1,0,133
t,500000,1,1,0,142
u,535000,2,1,1,0
h,758000,2,1,2,901
u,862000,2,1,1,1011
h,965000,4,2,2,576
h,761000,4,1,2,680
h,520000,3,1,2,570
h,530000,3,1,1,532
h,1020000,3,1,0,281
u,210000,1,1,1,0
h,750000,4,2,4,544
h,635000,3,1,4,536
u,410000,2,1,1,143
h,675000,5,2,2,750
h,880000,5,2,2,725
u,280000,1,1,1,3826
t,520000,2,1,1,126
t,895000,3,2,2,262
h,2110000,3,1,2,627
h,1050000,3,2,1,563
h,320000,4,2,1,547
h,480000,3,1,2,900
h,670000,4,2,2,512
h,520500,4,2,2,482
u,460000,2,1,1,241
h,610000,3,1,1,560
h,950000,3,1,2,608
t,970000,3,2,1,263
h,2200000,5,2,4,819
h,2320000,4,2,5,728
h,655000,3,2,3,382
h,960000,3,1,1,1285
h,1810000,4,2,2,431
h,1020000,2,1,1,269
h,1250000,2,1,1,450
h,1175000,3,2,6,650
h,800000,4,3,3,638
h,1225000,4,2,2,893
h,1205000,3,2,2,402
h,1720000,4,2,3,741
h,1600000,5,3,3,728
h,944000,3,1,1,446
h,1385000,3,1,2,807
h,2000000,3,1,2,1028
h,650000,3,1,4,1042
h,655000,3,2,2,731
h,710000,2,1,2,120
h,1330000,3,1,3,758
u,550000,2,1,0,4563
h,962000,2,1,0,91
t,936000,2,1,0,0
h,1900000,4,2,2,313
h,1605000,3,1,0,507
h,1415000,3,1,1,366
u,390000,2,1,1,0
h,1100000,4,2,3,596
h,926000,3,1,0,738
t,610000,2,1,1,182
h,1525000,5,3,6,774
h,1900000,6,4,3,1063
u,454000,1,1,1,1006
u,562000,2,1,1,0
t,1000000,3,2,2,298
h,820000,3,2,2,445
h,870000,3,1,2,654
h,800000,3,1,2,287
h,1501000,5,3,3,681
h,1663000,3,1,2,956
h,780000,4,2,3,555
h,660000,5,2,2,571
u,1631000,3,2,2,0
h,1665000,3,3,2,121
h,2450000,4,3,2,210
u,399000,1,1,0,0
u,1240000,2,1,1,0
h,840000,3,1,4,614
h,560000,2,1,1,198
h,900000,4,1,2,836
h,902000,4,2,3,700
h,825000,3,2,5,537
t,668500,2,2,1,138
h,1165000,2,1,1,149
u,890500,2,2,2,180
h,1442000,2,2,1,163
u,560000,2,1,2,217
h,340000,2,1,0,609
h,870000,5,2,2,733
u,643500,2,1,1,0
u,572000,3,2,2,264
h,750000,2,1,1,104
h,850000,2,1,1,152
h,640000,4,2,2,631
h,600000,4,2,2,505
u,386000,3,1,1,216
u,857000,2,2,2,0
h,1160000,2,1,0,140
u,1235000,3,2,1,0
h,752500,3,1,2,623
h,565000,3,1,2,614
h,610000,3,1,2,563
u,350000,1,1,1,0
u,525000,2,1,1,0
u,517500,1,1,0,980
u,365000,2,1,1,881
u,460000,2,1,1,0
h,646000,2,1,1,184
h,580000,4,2,2,613
h,420000,3,1,2,466
h,650000,3,3,1,852
t,525000,3,2,1,177
h,780000,3,1,2,690
h,765000,4,2,2,690
h,2100000,3,1,9,841
h,1385000,3,2,1,385
h,451500,3,1,1,346
h,526000,3,2,2,407
h,605500,4,2,2,724
h,427500,3,2,2,189
h,1705000,5,4,2,968
h,551200,3,1,2,1007
u,542000,3,2,2,213
h,2070000,4,3,2,530
h,2800000,6,2,2,581
t,385000,2,1,1,206
h,500000,3,1,1,268
h,821000,4,1,6,763
t,917000,3,2,2,260
h,1115000,4,2,2,592
h,905000,3,2,2,331
h,450000,2,2,2,74
h,1015000,3,2,2,550
h,510000,3,2,2,658
h,645000,4,2,2,702
h,427000,3,1,2,637
h,845000,3,1,2,422
h,876000,2,1,1,369
h,578000,3,2,1,308
h,510000,4,2,2,443
u,390000,2,1,1,197
h,525000,4,2,2,415
h,480000,3,1,2,743
h,1000000,4,2,2,438
h,1240000,3,3,6,668
h,1115000,3,1,2,446
u,507000,2,1,1,0
h,845000,3,1,2,589
h,1250000,3,1,1,773
h,1026000,0,3,2,534
u,850000,3,2,1,307
h,2905000,2,1,1,254
h,1380000,2,1,1,164
h,2500000,3,2,1,165
h,2120000,3,1,2,225
h,2015000,2,1,2,178
h,787000,3,1,3,716
h,2220000,4,2,3,580
u,540000,2,1,1,132
h,585000,3,1,1,402
u,700500,2,1,1,0
h,2385000,3,1,0,256
h,1500000,3,3,1,382
t,1655000,4,3,2,510
h,1800000,4,2,2,682
h,1880000,2,2,2,627
h,2405000,4,2,2,604
h,1000000,3,1,1,723
h,945000,5,2,1,570
u,290000,1,1,1,880
t,1810000,3,2,2,400
h,1593000,4,3,2,598
h,3100000,5,3,2,616
h,930000,5,2,2,992
h,700000,3,2,1,509
t,860000,4,3,2,304
h,1470000,2,1,4,633
h,1660000,6,3,4,730
h,1600000,4,2,2,604
t,1200000,4,2,2,293
h,1185000,3,2,2,644
h,1460000,4,1,2,722
t,935000,3,2,2,244
h,1620000,4,2,2,426
h,1580000,4,2,2,604
h,1315000,3,1,2,617
u,767000,2,1,2,206
h,2520000,5,3,2,947
h,1695000,4,3,4,696
t,990000,4,2,1,296
h,836000,3,2,2,407
h,780000,4,2,2,820
h,783000,4,1,3,730
h,2020000,5,3,0,2735
h,706500,3,2,3,723
u,637000,2,1,1,318
u,1336000,3,2,1,249
u,1400000,2,2,2,0
h,1175000,3,1,3,284
h,1935000,3,2,1,385
h,1950000,3,1,2,632
h,2250000,4,2,1,512
u,897000,3,1,1,164
h,2000000,5,3,2,645
h,1590000,3,2,1,322
h,1435000,3,2,0,251
h,1315000,2,1,1,234
h,730000,2,1,1,134
h,700000,2,1,1,61
h,1900000,3,2,3,372
h,920000,2,1,1,240
t,765000,2,2,1,77
h,1400000,4,1,2,678
h,740000,2,1,0,0
u,570000,2,1,1,0
h,1105000,2,1,2,173
h,1200000,3,1,1,473
h,1325000,4,1,0,465
h,1160000,3,1,1,603
h,1320000,3,1,3,902
h,780000,3,1,1,546
t,845000,4,3,2,94
u,700000,2,1,1,251
h,1032000,4,2,2,599
h,821000,4,2,2,638
h,3050000,4,2,2,984
t,1171000,3,2,2,350
h,2050000,3,2,3,779
u,850000,2,1,1,116
h,1501000,2,1,0,152
h,1570000,3,2,2,602
u,1275000,3,2,2,750
h,1435000,3,2,2,430
h,1455000,4,2,2,608
u,620000,2,1,2,158
h,600000,3,1,3,406
h,965000,4,1,3,1000
u,529000,2,1,1,199
h,881000,3,1,2,538
h,845000,4,2,2,633
u,650000,2,2,1,0
u,350000,2,0,0,0
u,350000,1,1,1,0
u,665000,2,1,1,0
h,1080000,3,1,1,588
h,674000,2,1,1,218
u,525000,2,1,1,506
h,840000,3,2,2,534
t,745000,2,1,2,359
h,1240000,3,1,4,605
u,850000,2,1,2,0
h,1300000,3,1,2,725
h,700000,2,2,1,533
h,880000,3,2,1,229
h,1525000,4,2,2,604
t,690000,3,1,1,64
h,960000,2,1,3,398
h,1600000,3,2,2,737
h,1157000,3,1,1,480
h,867000,2,1,1,208
h,690000,3,1,2,479
h,850000,4,2,2,300
h,700000,2,1,1,303
u,561000,2,2,2,3701
h,1025000,3,2,1,108
h,725000,4,2,3,854
h,667000,4,2,2,480
h,877500,3,2,1,979
h,678000,3,1,2,624
h,595000,3,1,1,530
u,305000,2,1,1,141
h,816000,3,2,2,533
h,2600000,4,4,2,1072
h,1285000,3,1,2,645
h,1360000,3,1,2,647
h,1600000,5,2,2,757
h,1370000,5,2,2,768
h,1760000,4,4,2,651
h,1662000,4,2,2,785
h,545000,3,1,1,700
u,750000,2,1,1,112
h,716000,2,1,1,0
u,975000,2,1,1,1764
h,975000,4,1,2,1005
h,842000,3,1,1,960
u,480000,2,1,1,1210
u,696750,2,1,1,0
u,420000,1,1,1,1192
u,695500,2,1,1,887
h,540000,3,1,4,699
h,620000,3,1,2,606
h,598000,3,2,3,558
h,650000,4,2,2,469
u,762000,2,1,1,195
h,1025000,3,2,2,203
h,1360000,4,2,1,267
h,900000,3,1,1,324
h,1320000,3,2,1,276
u,786000,3,2,1,138
h,2210000,5,3,2,590
h,1520000,3,2,1,321
h,1200000,3,1,2,440
h,700000,3,2,2,400
h,712000,3,1,2,603
h,775000,3,1,2,621
h,821000,4,1,1,687
h,663500,3,1,2,736
h,805000,3,1,2,1008
h,1290000,4,2,0,202
h,2268000,4,2,2,616
u,270000,2,1,1,0
u,605000,3,1,2,4096
u,764000,3,2,1,258
h,700000,3,1,2,593
h,452000,3,1,0,624
h,1890000,3,1,2,554
h,1750000,4,1,2,655
u,1100000,2,1,1,258
h,750000,4,2,3,659
h,695000,3,1,2,649
h,817000,3,2,1,610
h,760000,3,1,3,570
h,680000,3,2,1,650
h,1170000,5,3,5,1750
h,830000,5,4,5,602
h,731000,3,1,2,608
h,827000,3,1,2,676
t,627000,3,2,2,0
h,680000,3,1,2,795
u,690000,3,1,1,1396
u,1022000,2,1,1,2267
h,5510000,5,2,5,820
h,3335000,4,2,2,371
u,560000,1,1,1,0
u,970000,3,2,2,0
h,1790000,2,2,2,460
u,805000,2,1,1,0
h,1875000,3,2,1,282
h,2320000,4,2,2,528
t,1465000,3,2,2,265
t,701000,3,2,2,173
h,850000,3,1,2,797
h,885000,3,1,1,592
h,1190000,3,1,1,635
h,485000,3,2,1,453
h,530000,3,2,2,530
h,515000,3,1,2,565
h,1305000,4,2,0,4606
h,555500,3,2,1,557
h,1350000,4,1,2,587
u,910000,3,2,1,0
h,1300000,3,2,2,334
h,2525000,3,2,1,805
u,535000,2,1,1,0
h,580000,3,1,4,677
h,670000,3,1,2,647
t,855000,3,2,1,68
h,990000,2,1,0,165
u,630000,2,1,1,1037
t,942000,2,1,1,0
h,912500,2,1,2,239
u,515000,1,1,1,0
u,672000,2,1,1,710
h,2162000,4,2,3,794
h,2260000,3,2,4,753
h,745000,4,2,1,624
h,800001,4,1,2,467
h,1180000,3,1,1,335
h,521000,3,1,2,589
t,910000,2,1,2,195
h,4900000,3,4,2,950
u,592000,2,1,1,0
u,455000,1,1,1,1112
h,2265000,3,2,2,531
h,1780000,3,2,2,580
u,585000,2,2,2,37000
h,1085000,4,2,2,238
h,1680000,4,2,2,568
h,400000,4,2,2,643
h,355000,4,2,1,766
h,355000,5,2,2,666
t,815000,3,3,2,93
t,800000,2,1,1,0
h,885000,3,1,2,530
h,2010000,3,1,0,207
h,5600000,6,4,2,472
h,1850000,3,2,1,321
h,663500,3,2,1,991
h,732000,3,2,1,808
h,720000,4,2,3,649
h,556500,3,1,2,526
u,569000,3,1,2,280
h,1850000,3,2,2,596
h,1090000,2,1,0,233
h,760000,2,1,0,251
h,1090500,3,2,2,347
h,872000,5,2,2,1254
h,730000,3,2,2,947
u,519000,1,1,1,0
t,1170000,4,2,2,312
u,720000,2,1,1,198
u,572000,2,1,1,173
h,1640000,3,1,2,911
t,1011000,3,2,2,297
h,1450000,5,2,2,728
h,880000,3,2,2,705
h,1256000,3,2,2,335
u,330000,1,1,1,0
u,670000,2,1,2,0
u,602000,2,1,1,1166
h,1337000,4,2,2,650
h,970000,2,1,0,102
h,1232000,3,1,1,352
t,950000,4,2,2,338
u,460000,2,1,1,106
h,1138000,4,2,2,697
h,1410000,4,2,2,568
h,1245000,3,1,1,545
h,1114000,2,1,1,703
u,740000,3,1,1,211
h,1120000,4,2,2,564
h,945000,3,1,2,640
u,280000,1,1,1,821
u,485000,2,1,1,0
h,1315000,3,2,2,627
u,1770000,3,2,1,2431
u,630000,3,1,1,365
u,1725000,3,2,2,0
h,1325000,3,2,2,133
u,625000,2,1,1,6830
u,665000,2,2,1,1472
h,1400000,3,2,0,145
h,850000,3,1,2,485
h,1400000,5,2,2,558
h,930000,3,1,0,357
h,830000,4,1,2,540
h,881000,3,1,2,470
u,660000,3,1,1,234
h,945000,3,1,2,349
h,1210000,3,2,2,515
h,970000,3,1,1,345
u,465000,2,1,1,163
h,725000,3,1,2,590
h,990000,3,1,1,545
h,972500,3,1,1,448
h,955000,3,1,1,263
h,1900000,3,1,0,204
h,1100000,4,2,2,665
h,1266000,5,2,2,601
h,1040000,3,2,1,461
h,888000,2,1,2,649
t,521000,2,1,1,0
h,857700,3,1,1,325
t,642500,3,2,2,160
h,1676000,3,1,1,294
h,1400000,4,1,0,244
h,1301000,3,1,1,163
u,575000,2,1,1,407
u,766000,3,1,2,327
h,910000,4,1,2,669
h,1200000,4,1,1,833
u,675000,2,1,1,247
h,622000,3,1,1,372
h,425000,3,2,2,255
t,2300000,4,2,2,604
h,1710000,3,2,0,398
t,2221000,4,2,2,381
h,515000,3,1,2,531
h,540000,3,1,2,648
h,1360000,3,2,6,663
h,1500000,4,3,2,169
h,1180000,3,1,0,198
h,790000,3,2,2,334
u,805000,2,2,2,0
u,530000,2,1,1,1646
